Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Margin,Team Differential,Opponent Differential,Game Type
11/13/15,Jackson State,Away,52,Oregon,80,Home,,Loss,-28,3.66,9.28,Division 1
11/13/15,Oregon,Home,80,Jackson State,52,Away,,Win,28,9.28,3.66,Division 1
11/13/15,Missouri State,Away,65,Oral Roberts,80,Home,,Loss,-15,-5.33,-0.83,Division 1
11/13/15,Oral Roberts,Home,80,Missouri State,65,Away,,Win,15,-0.83,-5.33,Division 1
11/13/15,Pennsylvania,Home,76,Robert Morris,75,Away,,Win,1,-3.00,-5.68,Division 1
11/13/15,Portland,Home,98,Oregon Tech,81,Away,,Win,17,-1.42,0.00,Non Division 1
11/13/15,North Carolina A&T,Away,40,Purdue,81,Home,,Loss,-41,-8.77,13.07,Division 1
11/13/15,Robert Morris,Away,75,Pennsylvania,76,Home,,Loss,-1,-5.68,-3.00,Division 1
11/13/15,Oregon Tech,Away,81,Portland,98,Home,,Loss,-17,0.00,-1.42,Non Division 1
11/13/15,Old Dominion,Neutral,67,Niagara,50,,Neutral Site,Win,17,5.79,-7.63,Division 1
11/13/15,Massachusetts-Lowell,Away,57,Northwestern,79,Home,,Loss,-22,-6.21,6.00,Division 1
11/13/15,Northwestern,Home,79,Massachusetts-Lowell,57,Away,,Win,22,6.00,-6.21,Division 1
11/13/15,Cal State Northridge,Away,71,Northern Illinois,83,Home,,Loss,-12,-3.93,5.65,Division 1
11/13/15,Northern Illinois,Home,83,Cal State Northridge,71,Away,,Win,12,5.65,-3.93,Division 1
11/13/15,Notre Dame,Home,87,Saint Francis (PA),56,Away,,Win,31,6.93,-2.38,Division 1
11/13/15,Tennessee-Martin,Away,57,Oklahoma State,91,Home,,Loss,-34,1.84,-0.13,Division 1
11/13/15,Niagara,Neutral,50,Old Dominion,67,,Neutral Site,Loss,-17,-7.63,5.79,Division 1
11/13/15,Saint Francis (PA),Away,56,Notre Dame,87,Home,,Loss,-31,-2.38,6.93,Division 1
11/13/15,Oklahoma State,Home,91,Tennessee-Martin,57,Away,,Win,34,-0.13,1.84,Division 1
11/13/15,Saint Joseph's,Home,82,Drexel,81,Away,,Win,1,8.79,-7.34,Division 1
11/13/15,Saint Mary's (CA),Home,80,San Francisco State,56,Away,,Win,24,14.79,0.00,Non Division 1
11/13/15,Sacred Heart,Neutral,76,Quinnipiac,64,,Neutral Site,Win,12,-3.83,-5.48,Division 1
11/13/15,Drexel,Away,81,Saint Joseph's,82,Home,,Loss,-1,-7.34,8.79,Division 1
11/13/15,San Francisco State,Away,56,Saint Mary's (CA),80,Home,,Loss,-24,0.00,14.79,Non Division 1
11/13/15,Illinois State,Away,60,San Diego State,71,Home,,Loss,-11,1.72,7.10,Division 1
11/13/15,San Diego State,Home,71,Illinois State,60,Away,,Win,11,7.10,1.72,Division 1
11/13/15,Brown,Away,65,Saint Peter's,77,Home,,Loss,-12,-4.15,-0.41,Division 1
11/13/15,Saint Peter's,Home,77,Brown,65,Away,,Win,12,-0.41,-4.15,Division 1
11/13/15,Quinnipiac,Neutral,64,Sacred Heart,76,,Neutral Site,Loss,-12,-5.48,-3.83,Division 1
11/13/15,Rhode Island,Home,65,American,42,Away,,Win,23,4.76,-8.28,Division 1
11/13/15,James Madison,Away,87,Richmond,75,Home,,Win,12,7.19,3.34,Division 1
11/13/15,Purdue,Home,81,North Carolina A&T,40,Away,,Win,41,13.07,-8.77,Division 1
11/13/15,American,Away,42,Rhode Island,65,Home,,Loss,-23,-8.28,4.76,Division 1
11/13/15,Richmond,Home,75,James Madison,87,Away,,Loss,-12,3.34,7.19,Division 1
11/13/15,Rutgers,Home,72,Rutgers-Newark,59,Away,,Win,13,-13.10,0.00,Non Division 1
11/13/15,Rutgers-Newark,Away,59,Rutgers,72,Home,,Loss,-13,0.00,-13.10,Non Division 1
11/13/15,Princeton,Away,64,Rider,56,Home,,Win,8,11.68,-1.23,Division 1
11/13/15,Rider,Home,56,Princeton,64,Away,,Loss,-8,-1.23,11.68,Division 1
11/13/15,North Texas,Home,112,Jarvis Christian,82,Away,,Win,30,-3.72,0.00,Non Division 1
11/13/15,Wofford,Away,74,Missouri,83,Home,,Loss,-9,0.19,-4.20,Division 1
11/13/15,Boise State,Away,72,Montana,74,Home,,Loss,-2,7.83,4.81,Division 1
11/13/15,Mississippi State,Home,106,Eastern Washington,88,Away,,Win,18,2.14,5.29,Division 1
11/13/15,Missouri,Home,83,Wofford,74,Away,,Win,9,-4.20,0.19,Division 1
11/13/15,Montana,Home,74,Boise State,72,Away,,Win,2,4.81,7.83,Division 1
11/13/15,Harris-Stowe,Away,55,Murray State,105,Home,,Loss,-50,0.00,3.79,Non Division 1
11/13/15,Murray State,Home,105,Harris-Stowe,55,Away,,Win,50,3.79,0.00,Non Division 1
11/13/15,Cincinnati Christian,Away,51,Morehead State,87,Home,,Loss,-36,0.00,5.62,Non Division 1
11/13/15,Morehead State,Home,87,Cincinnati Christian,51,Away,,Win,36,5.62,0.00,Non Division 1
11/13/15,Eastern Washington,Away,88,Mississippi State,106,Home,,Loss,-18,5.29,2.14,Division 1
11/13/15,Northern Michigan,Away,44,Michigan,70,Home,,Loss,-26,0.00,8.47,Non Division 1
11/13/15,Florida Atlantic,Away,55,Michigan State,82,Home,,Loss,-27,-8.00,16.45,Division 1
11/13/15,Texas-Rio Grande Valley,Away,59,Miami (FL),86,Home,,Loss,-27,-9.82,9.93,Division 1
11/13/15,Michigan,Home,70,Northern Michigan,44,Away,,Win,26,8.47,0.00,Non Division 1
11/13/15,Michigan State,Home,82,Florida Atlantic,55,Away,,Win,27,16.45,-8.00,Division 1
11/13/15,Mississippi,Home,90,Northwestern State,76,Away,,Win,14,2.62,-5.31,Division 1
11/13/15,Northwestern State,Away,76,Mississippi,90,Home,,Loss,-14,-5.31,2.62,Division 1
11/13/15,Minnesota,Home,76,Missouri-Kansas City,58,Away,,Win,18,-4.18,-3.75,Division 1
11/13/15,Missouri-Kansas City,Away,58,Minnesota,76,Home,,Loss,-18,-3.75,-4.18,Division 1
11/13/15,North Carolina State,Home,68,William & Mary,85,Away,,Loss,-17,1.34,5.76,Division 1
11/13/15,William & Mary,Away,85,North Carolina State,68,Home,,Win,17,5.76,1.34,Division 1
11/13/15,Houston Baptist,Away,69,New Mexico State,91,Home,,Loss,-22,2.69,7.70,Division 1
11/13/15,New Mexico State,Home,91,Houston Baptist,69,Away,,Win,22,7.70,2.69,Division 1
11/13/15,Milligan,Away,62,North Carolina-Wilmington,100,Home,,Loss,-38,0.00,8.17,Non Division 1
11/13/15,North Dakota,Home,99,Minnesota-Morris,69,Away,,Win,30,4.04,0.00,Non Division 1
11/13/15,Jarvis Christian,Away,82,North Texas,112,Home,,Loss,-30,0.00,-3.72,Non Division 1
11/13/15,North Carolina-Wilmington,Home,100,Milligan,62,Away,,Win,38,8.17,0.00,Non Division 1
11/13/15,Minnesota-Morris,Away,69,North Dakota,99,Home,,Loss,-30,0.00,4.04,Non Division 1
11/13/15,Texas Southern,Away,57,New Mexico,86,Home,,Loss,-29,2.86,2.70,Division 1
11/13/15,UC-Santa Barbara,Away,60,Nebraska-Omaha,59,Home,,Win,1,2.41,4.20,Division 1
11/13/15,Nebraska-Omaha,Home,59,UC-Santa Barbara,60,Away,,Loss,-1,4.20,2.41,Division 1
11/13/15,Florida,Away,59,Navy,41,Home,,Win,18,4.97,3.03,Division 1
11/13/15,Navy,Home,41,Florida,59,Away,,Loss,-18,3.03,4.97,Division 1
11/13/15,Cal Poly,Away,72,Nevada-Las Vegas,74,Home,,Loss,-2,-1.30,6.57,Division 1
11/13/15,New Hampshire,Home,82,Lyndon State,45,Away,,Win,37,1.41,0.00,Non Division 1
11/13/15,New Mexico,Home,86,Texas Southern,57,Away,,Win,29,2.70,2.86,Division 1
11/13/15,Nevada-Las Vegas,Home,74,Cal Poly,72,Away,,Win,2,6.57,-1.30,Division 1
11/13/15,Lyndon State,Away,45,New Hampshire,82,Home,,Loss,-37,0.00,1.41,Non Division 1
11/13/15,Lipscomb,Away,65,Santa Clara,63,Home,,Win,2,-2.44,-5.90,Division 1
11/13/15,Morgan State,Away,48,Virginia,86,Home,,Loss,-38,-4.50,10.37,Division 1
11/13/15,Virginia,Home,86,Morgan State,48,Away,,Win,38,10.37,-4.50,Division 1
11/13/15,Fairleigh Dickinson,Away,54,Villanova,91,Home,,Loss,-37,-0.90,13.93,Division 1
11/13/15,Villanova,Home,91,Fairleigh Dickinson,54,Away,,Win,37,13.93,-0.90,Division 1
11/13/15,Prairie View,Away,50,Virginia Commonwealth,75,Home,,Loss,-25,-10.79,10.48,Division 1
11/13/15,Wake Forest,Home,78,Maryland-Baltimore County,73,Away,,Win,5,-4.94,-8.45,Division 1
11/13/15,Texas,Neutral,71,Washington,77,,Neutral Site,Loss,-6,4.00,3.10,Division 1
11/13/15,Virginia Commonwealth,Home,75,Prairie View,50,Away,,Win,25,10.48,-10.79,Division 1
11/13/15,Maryland-Baltimore County,Away,73,Wake Forest,78,Home,,Loss,-5,-8.45,-4.94,Division 1
11/13/15,Vanderbilt,Home,80,Austin Peay,41,Away,,Win,39,10.10,-0.97,Division 1
11/13/15,Monmouth,Away,84,UCLA,81,Home,,Win,3,7.81,2.10,Division 1
11/13/15,UCLA,Home,81,Monmouth,84,Away,,Loss,-3,2.10,7.81,Division 1
11/13/15,Alabama A&M,Away,68,Tulane,67,Home,,Win,1,-2.48,-4.38,Division 1
11/13/15,Tulane,Home,67,Alabama A&M,68,Away,,Loss,-1,-4.38,-2.48,Division 1
11/13/15,Southern Utah,Away,71,Utah,82,Home,,Loss,-11,-11.00,10.17,Division 1
11/13/15,Valparaiso,Home,78,IPFW,64,Away,,Win,14,14.23,4.03,Division 1
11/13/15,Austin Peay,Away,41,Vanderbilt,80,Home,,Loss,-39,-0.97,10.10,Division 1
11/13/15,Utah,Home,82,Southern Utah,71,Away,,Win,11,10.17,-11.00,Division 1
11/13/15,IPFW,Away,64,Valparaiso,78,Home,,Loss,-14,4.03,14.23,Division 1
11/13/15,Wright State,Neutral,77,South Dakota,69,,Neutral Site,Win,8,1.94,-2.52,Division 1
11/13/15,Bristol University,Away,62,Wyoming,101,Home,,Loss,-39,0.00,-0.13,Non Division 1
11/13/15,Wisconsin,Home,67,Western Illinois,69,Away,,Loss,-2,5.03,-0.37,Division 1
11/13/15,South Dakota,Neutral,69,Wright State,77,,Neutral Site,Loss,-8,-2.52,1.94,Division 1
11/13/15,Wyoming,Home,101,Bristol University,62,Away,,Win,39,-0.13,0.00,Non Division 1
11/13/15,Fairfield,Neutral,57,Yale,70,,Neutral Site,Loss,-13,-0.13,11.42,Division 1
11/13/15,Yale,Neutral,70,Fairfield,57,,Neutral Site,Win,13,11.42,-0.13,Division 1
11/13/15,Miami (OH),Away,72,Xavier,81,Home,,Loss,-9,-5.35,10.60,Division 1
11/13/15,Xavier,Home,81,Miami (OH),72,Away,,Win,9,10.60,-5.35,Division 1
11/13/15,Western Illinois,Away,69,Wisconsin,67,Home,,Win,2,-0.37,5.03,Division 1
11/13/15,Washington State,Home,82,Northern Arizona,70,Away,,Win,12,-6.03,-12.63,Division 1
11/13/15,Utah State,Away,73,Weber State,70,Home,,Win,3,1.64,11.24,Division 1
11/13/15,Washington,Neutral,77,Texas,71,,Neutral Site,Win,6,3.10,4.00,Division 1
11/13/15,Northern Arizona,Away,70,Washington State,82,Home,,Loss,-12,-12.63,-6.03,Division 1
11/13/15,Weber State,Home,70,Utah State,73,Away,,Loss,-3,11.24,1.64,Division 1
11/13/15,Charleston Southern,Away,63,Wichita State,88,Home,,Loss,-25,-3.48,14.80,Division 1
11/13/15,Wichita State,Home,88,Charleston Southern,63,Away,,Win,25,14.80,-3.48,Division 1
11/13/15,Northern Kentucky,Away,61,West Virginia,107,Home,,Loss,-46,-3.45,13.27,Division 1
11/13/15,West Virginia,Home,107,Northern Kentucky,61,Away,,Win,46,13.27,-3.45,Division 1
11/13/15,Texas Tech,Home,77,High Point,73,Away,,Win,4,2.52,8.17,Division 1
11/13/15,Troy,Away,82,South Florida,77,Home,,Win,5,-4.53,-8.00,Division 1
11/13/15,San Diego,Away,45,Southern California,83,Home,,Loss,-38,-8.59,6.34,Division 1
11/13/15,South Dakota State,Home,87,Chadron State,52,Away,,Win,35,8.93,0.00,Non Division 1
11/13/15,South Florida,Home,77,Troy,82,Away,,Loss,-5,-8.00,-4.53,Division 1
11/13/15,Southern California,Home,83,San Diego,45,Away,,Win,38,6.34,-8.59,Division 1
11/13/15,Arkansas State,Away,70,Southern Illinois-Edwardsville,79,Home,,Loss,-9,-2.13,-8.18,Division 1
11/13/15,Southern Illinois-Edwardsville,Home,79,Arkansas State,70,Away,,Win,9,-8.18,-2.13,Division 1
11/13/15,Air Force,Away,75,Southern Illinois,77,Home,,Loss,-2,-4.03,4.42,Division 1
11/13/15,Southern Illinois,Home,77,Air Force,75,Away,,Win,2,4.42,-4.03,Division 1
11/13/15,Chadron State,Away,52,South Dakota State,87,Home,,Loss,-35,0.00,8.93,Non Division 1
11/13/15,Savannah State,Home,87,Florida National University,69,Away,,Win,18,-5.59,0.00,Non Division 1
11/13/15,Arkansas-Pine Bluff,Away,58,Seattle,56,Home,,Win,2,-14.65,-1.04,Division 1
11/13/15,Santa Clara,Home,63,Lipscomb,65,Away,,Loss,-2,-5.90,-2.44,Division 1
11/13/15,Florida National University,Away,69,Savannah State,87,Home,,Loss,-18,0.00,-5.59,Non Division 1
11/13/15,Seattle,Home,56,Arkansas-Pine Bluff,58,Away,,Loss,-2,-1.04,-14.65,Division 1
11/13/15,Auburn Montgomery,Away,68,South Alabama,88,Home,,Loss,-20,0.00,-3.13,Non Division 1
11/13/15,South Alabama,Home,88,Auburn Montgomery,68,Away,,Win,20,-3.13,0.00,Non Division 1
11/13/15,Dartmouth,Away,67,Seton Hall,84,Home,,Loss,-17,0.54,7.57,Division 1
11/13/15,Seton Hall,Home,84,Dartmouth,67,Away,,Win,17,7.57,0.54,Division 1
11/13/15,South Carolina Upstate,Away,64,Texas A&M,104,Home,,Loss,-40,-5.63,10.33,Division 1
11/13/15,Texas A&M,Home,104,South Carolina Upstate,64,Away,,Win,40,10.33,-5.63,Division 1
11/13/15,North Carolina-Asheville,Away,78,Tennessee,82,Home,,Loss,-4,7.27,-0.52,Division 1
11/13/15,Tennessee,Home,82,North Carolina-Asheville,78,Away,,Win,4,-0.52,7.27,Division 1
11/13/15,Our Lady of the Lake,Away,72,Texas A&M-Corpus Christi,94,Home,,Loss,-22,0.00,5.45,Non Division 1
11/13/15,Texas Christian,Home,90,Southeastern Louisiana,77,Away,,Win,13,-3.97,-4.73,Division 1
11/13/15,High Point,Away,73,Texas Tech,77,Home,,Loss,-4,8.17,2.52,Division 1
11/13/15,Texas A&M-Corpus Christi,Home,94,Our Lady of the Lake,72,Away,,Win,22,5.45,0.00,Non Division 1
11/13/15,Southeastern Louisiana,Away,77,Texas Christian,90,Home,,Loss,-13,-4.73,-3.97,Division 1
11/13/15,Temple,Neutral,67,North Carolina,91,,Neutral Site,Loss,-24,0.68,12.60,Division 1
11/13/15,St. John's (NY),Home,66,Wagner,57,Away,,Win,9,-9.20,6.62,Division 1
11/13/15,Wagner,Away,57,St. John's (NY),66,Home,,Loss,-9,6.62,-9.20,Division 1
11/13/15,Binghamton,Away,53,St. Bonaventure,63,Home,,Loss,-10,-7.83,5.04,Division 1
11/13/15,St. Bonaventure,Home,63,Binghamton,53,Away,,Win,10,5.04,-7.83,Division 1
11/13/15,Green Bay,Away,89,Stanford,93,Home,,Loss,-4,3.97,1.56,Division 1
11/13/15,Syracuse,Home,57,Lehigh,47,Away,,Win,10,5.00,1.48,Division 1
11/13/15,North Carolina,Neutral,91,Temple,67,,Neutral Site,Win,24,12.60,0.68,Division 1
11/13/15,Stanford,Home,93,Green Bay,89,Away,,Win,4,1.56,3.97,Division 1
11/13/15,Lehigh,Away,47,Syracuse,57,Home,,Loss,-10,1.48,5.00,Division 1
11/13/15,South Carolina State,Away,54,College of Charleston,74,Home,,Loss,-20,-0.31,3.62,Division 1
11/13/15,Columbia,Home,107,Kean,62,Away,,Win,45,7.90,0.00,Non Division 1
11/13/15,Nevada,Neutral,73,Coastal Carolina,56,,Neutral Site,Win,17,4.38,7.79,Division 1
11/13/15,College of Charleston,Home,74,South Carolina State,54,Away,,Win,20,3.62,-0.31,Division 1
11/13/15,Kean,Away,62,Columbia,107,Home,,Loss,-45,0.00,7.90,Non Division 1
11/13/15,Dayton,Home,84,Southeast Missouri State,53,Away,,Win,31,7.69,-10.62,Division 1
11/13/15,Southeast Missouri State,Away,53,Dayton,84,Home,,Loss,-31,-10.62,7.69,Division 1
11/13/15,Connecticut,Home,100,Maine,56,Away,,Win,44,11.03,-10.69,Division 1
11/13/15,Maine,Away,56,Connecticut,100,Home,,Loss,-44,-10.69,11.03,Division 1
11/13/15,Coastal Carolina,Neutral,56,Nevada,73,,Neutral Site,Loss,-17,7.79,4.38,Division 1
11/13/15,Elon,Away,85,Charlotte,74,Home,,Win,11,0.55,-1.69,Division 1
11/13/15,Chicago State,Home,137,Illinois Tech,59,Away,,Win,78,-9.57,0.00,Non Division 1
11/13/15,Jacksonville State,Away,83,Central Michigan,89,Home,,Loss,-6,-4.32,4.06,Division 1
11/13/15,Charlotte,Home,74,Elon,85,Away,,Loss,-11,-1.69,0.55,Division 1
11/13/15,Illinois Tech,Away,59,Chicago State,137,Home,,Loss,-78,0.00,-9.57,Non Division 1
11/13/15,Clemson,Home,74,North Carolina Central,40,Away,,Win,34,5.07,0.34,Division 1
11/13/15,North Carolina Central,Away,40,Clemson,74,Home,,Loss,-34,0.34,5.07,Division 1
11/13/15,Cincinnati,Home,97,Western Carolina,72,Away,,Win,25,11.83,-0.23,Division 1
11/13/15,Western Carolina,Away,72,Cincinnati,97,Home,,Loss,-25,-0.23,11.83,Division 1
11/13/15,Coppin State,Away,80,Eastern Kentucky,107,Home,,Loss,-27,-9.43,1.42,Division 1
11/13/15,Eastern Kentucky,Home,107,Coppin State,80,Away,,Win,27,1.42,-9.43,Division 1
11/13/15,East Carolina,Home,61,Grambling,53,Away,,Win,8,-3.21,-6.36,Division 1
11/13/15,Grambling,Away,53,East Carolina,61,Home,,Loss,-8,-6.36,-3.21,Division 1
11/13/15,Eastern Michigan,Home,70,Vermont,50,Away,,Win,20,2.16,4.35,Division 1
11/13/15,Johnson University,Away,71,Florida A&M,103,Home,,Loss,-32,0.00,-9.04,Non Division 1
11/13/15,Florida International,Home,71,Trinity Baptist,39,Away,,Win,32,2.17,0.00,Non Division 1
11/13/15,Vermont,Away,50,Eastern Michigan,70,Home,,Loss,-20,4.35,2.16,Division 1
11/13/15,Florida A&M,Home,103,Johnson University,71,Away,,Win,32,-9.04,0.00,Non Division 1
11/13/15,Seton Hill,Away,71,Duquesne,96,Home,,Loss,-25,0.00,2.40,Non Division 1
11/13/15,Denver,Neutral,58,Milwaukee,71,,Neutral Site,Loss,-13,-0.34,7.06,Division 1
11/13/15,Milwaukee,Neutral,71,Denver,58,,Neutral Site,Win,13,7.06,-0.34,Division 1
11/13/15,Delaware,Away,62,Delaware State,56,Home,,Win,6,-9.66,-11.37,Division 1
11/13/15,Delaware State,Home,56,Delaware,62,Away,,Loss,-6,-11.37,-9.66,Division 1
11/13/15,Drake,Home,97,Simpson,52,Away,,Win,45,-4.74,0.00,Non Division 1
11/13/15,Siena,Away,74,Duke,92,Home,,Loss,-18,5.66,10.53,Division 1
11/13/15,Duquesne,Home,96,Seton Hill,71,Away,,Win,25,2.40,0.00,Non Division 1
11/13/15,Simpson,Away,52,Drake,97,Home,,Loss,-45,0.00,-4.74,Non Division 1
11/13/15,Duke,Home,92,Siena,74,Away,,Win,18,10.53,5.66,Division 1
11/13/15,Central Michigan,Home,89,Jacksonville State,83,Away,,Win,6,4.06,-4.32,Division 1
11/13/15,Alabama-Birmingham,Away,74,Auburn,75,Home,,Loss,-1,10.07,-6.14,Division 1
11/13/15,Auburn,Home,75,Alabama-Birmingham,74,Away,,Win,1,-6.14,10.07,Division 1
11/13/15,Army,Home,93,Ferrum,54,Away,,Win,39,3.13,0.00,Non Division 1
11/13/15,Ferrum,Away,54,Army,93,Home,,Loss,-39,0.00,3.13,Non Division 1
11/13/15,Baylor,Home,97,Stephen F. Austin,55,Away,,Win,42,8.73,15.82,Division 1
11/13/15,Trinity (FL),Away,54,Bethune-Cookman,108,Home,,Loss,-54,0.00,-1.74,Non Division 1
11/13/15,Boston University,Home,84,Northeastern,87,Away,,Loss,-3,1.03,0.94,Division 1
11/13/15,Stephen F. Austin,Away,55,Baylor,97,Home,,Loss,-42,15.82,8.73,Division 1
11/13/15,Bethune-Cookman,Home,108,Trinity (FL),54,Away,,Win,54,-1.74,0.00,Non Division 1
11/13/15,Southern,Away,68,Arkansas,86,Home,,Loss,-18,3.59,4.55,Division 1
11/13/15,Alabama,Home,77,Kennesaw State,64,Away,,Win,13,0.03,-5.16,Division 1
11/13/15,Kennesaw State,Away,64,Alabama,77,Home,,Loss,-13,-5.16,0.03,Division 1
11/13/15,Abilene Christian,Home,94,University of the Southwest,63,Away,,Win,31,-1.86,0.00,Non Division 1
11/13/15,University of the Southwest,Away,63,Abilene Christian,94,Home,,Loss,-31,0.00,-1.86,Non Division 1
11/13/15,Arizona,Home,79,Pacific,61,Away,,Win,18,12.76,-2.18,Division 1
11/13/15,Sacramento State,Away,66,Arizona State,63,Home,,Win,3,-1.22,-0.69,Division 1
11/13/15,Arkansas,Home,86,Southern,68,Away,,Win,18,4.55,3.59,Division 1
11/13/15,Pacific,Away,61,Arizona,79,Home,,Loss,-18,-2.18,12.76,Division 1
11/13/15,Arizona State,Home,63,Sacramento State,66,Away,,Loss,-3,-0.69,-1.22,Division 1
11/13/15,North Dakota State,Away,79,UC-Davis,71,Home,,Win,8,4.47,-1.56,Division 1
11/13/15,UC-Irvine,Home,89,UC-San Diego,73,Away,,Win,16,4.73,0.00,Non Division 1
11/13/15,Rice,Away,65,University of California,97,Home,,Loss,-32,-4.10,9.07,Division 1
11/13/15,UC-Davis,Home,71,North Dakota State,79,Away,,Loss,-8,-1.56,4.47,Division 1
11/13/15,UC-San Diego,Away,73,UC-Irvine,89,Home,,Loss,-16,0.00,4.73,Non Division 1
11/13/15,Central Connecticut State,Home,83,Hartford,92,Away,,Loss,-9,-13.10,-7.90,Division 1
11/13/15,Hartford,Away,92,Central Connecticut State,83,Home,,Win,9,-7.90,-13.10,Division 1
11/13/15,Campbell,Home,87,Montreat,42,Away,,Win,45,0.48,0.00,Non Division 1
11/13/15,Montreat,Away,42,Campbell,87,Home,,Loss,-45,0.00,0.48,Non Division 1
11/13/15,University of California,Home,97,Rice,65,Away,,Win,32,9.07,-4.10,Division 1
11/13/15,Bradley,Home,54,Ball State,53,Away,,Win,1,-14.10,4.39,Division 1
11/13/15,Brigham Young,Home,85,Utah Valley,54,Away,,Win,31,11.87,-2.54,Division 1
11/13/15,Northeastern,Away,87,Boston University,84,Home,,Win,3,0.94,1.03,Division 1
11/13/15,Ball State,Away,53,Bradley,54,Home,,Loss,-1,4.39,-14.10,Division 1
11/13/15,Utah Valley,Away,54,Brigham Young,85,Home,,Loss,-31,-2.54,11.87,Division 1
11/13/15,Buffalo,Home,109,Pittsburgh-Bradford,49,Away,,Win,60,1.94,0.00,Non Division 1
11/13/15,Pittsburgh-Bradford,Away,49,Buffalo,109,Home,,Loss,-60,0.00,1.94,Non Division 1
11/13/15,Bucknell,Home,107,Shenandoah,61,Away,,Win,46,6.03,0.00,Non Division 1
11/13/15,Shenandoah,Away,61,Bucknell,107,Home,,Loss,-46,0.00,6.03,Non Division 1
11/13/15,Trinity Baptist,Away,39,Florida International,71,Home,,Loss,-32,0.00,2.17,Non Division 1
11/13/15,Randolph,Away,49,Longwood,69,Home,,Loss,-20,0.00,-3.26,Non Division 1
11/13/15,Louisiana College,Away,68,Louisiana-Lafayette,108,Home,,Loss,-40,0.00,6.59,Non Division 1
11/13/15,Liberty,Home,64,Covenant,62,Away,,Win,2,-2.81,0.00,Non Division 1
11/13/15,Longwood,Home,69,Randolph,49,Away,,Win,20,-3.26,0.00,Non Division 1
11/13/15,Louisiana-Lafayette,Home,108,Louisiana College,68,Away,,Win,40,6.59,0.00,Non Division 1
11/13/15,Louisiana State,Home,81,McNeese State,70,Away,,Win,11,3.35,-8.22,Division 1
11/13/15,McNeese State,Away,70,Louisiana State,81,Home,,Loss,-11,-8.22,3.35,Division 1
11/13/15,Louisiana-Monroe,Home,88,McMurry,43,Away,,Win,45,3.48,0.00,Non Division 1
11/13/15,McMurry,Away,43,Louisiana-Monroe,88,Home,,Loss,-45,0.00,3.48,Non Division 1
11/13/15,Covenant,Away,62,Liberty,64,Home,,Loss,-2,0.00,-2.81,Non Division 1
11/13/15,Northern Colorado,Away,72,Kansas,109,Home,,Loss,-37,-6.11,14.23,Division 1
11/13/15,Kansas State,Home,80,Maryland-Eastern Shore,53,Away,,Win,27,2.33,-7.43,Division 1
11/13/15,Iowa State,Neutral,68,Colorado,62,,Neutral Site,Win,6,7.73,5.27,Division 1
11/13/15,Kansas,Home,109,Northern Colorado,72,Away,,Win,37,14.23,-6.11,Division 1
11/13/15,Maryland-Eastern Shore,Away,53,Kansas State,80,Home,,Loss,-27,-7.43,2.33,Division 1
11/13/15,Austin College,Away,58,Lamar,101,Home,,Loss,-43,0.00,-1.00,Non Division 1
11/13/15,Lamar,Home,101,Austin College,58,Away,,Win,43,-1.00,0.00,Non Division 1
11/13/15,Albany (NY),Away,65,Kentucky,78,Home,,Loss,-13,10.58,10.90,Division 1
11/13/15,Kentucky,Home,78,Albany (NY),65,Away,,Win,13,10.90,10.58,Division 1
11/13/15,Belmont,Away,83,Marquette,80,Home,,Win,3,4.60,3.33,Division 1
11/13/15,Marquette,Home,80,Belmont,83,Away,,Loss,-3,3.33,4.60,Division 1
11/13/15,Holy Cross,Away,67,Marist,64,Home,,Win,3,-5.77,-6.79,Division 1
11/13/15,Marist,Home,64,Holy Cross,67,Away,,Loss,-3,-6.79,-5.77,Division 1
11/13/15,Maryland,Home,80,Mount St. Mary's,56,Away,,Win,24,10.59,-2.19,Division 1
11/13/15,Mercer,Home,96,Allen,70,Away,,Win,26,4.16,0.00,Non Division 1
11/13/15,Miami (FL),Home,86,Texas-Rio Grande Valley,59,Away,,Win,27,9.93,-9.82,Division 1
11/13/15,Mount St. Mary's,Away,56,Maryland,80,Home,,Loss,-24,-2.19,10.59,Division 1
11/13/15,Allen,Away,70,Mercer,96,Home,,Loss,-26,0.00,4.16,Non Division 1
11/13/15,Tennessee State,Away,86,Loyola (MD),71,Home,,Win,15,5.03,-5.67,Division 1
11/13/15,Louisville,Home,86,Samford,45,Away,,Win,41,15.03,-0.13,Division 1
11/13/15,Samford,Away,45,Louisville,86,Home,,Loss,-41,-0.13,15.03,Division 1
11/13/15,Louisiana Tech,Home,95,Millsaps,33,Away,,Win,62,8.72,0.00,Non Division 1
11/13/15,Millsaps,Away,33,Louisiana Tech,95,Home,,Loss,-62,0.00,8.72,Non Division 1
11/13/15,Loyola (IL),Home,70,Texas-San Antonio,64,Away,,Win,6,-0.97,-11.47,Division 1
11/13/15,Loyola Marymount,Home,79,Cal State Fullerton,74,Away,,Win,5,-3.52,-3.21,Division 1
11/13/15,Loyola (MD),Home,71,Tennessee State,86,Away,,Loss,-15,-5.67,5.03,Division 1
11/13/15,Texas-San Antonio,Away,64,Loyola (IL),70,Home,,Loss,-6,-11.47,-0.97,Division 1
11/13/15,Cal State Fullerton,Away,74,Loyola Marymount,79,Home,,Loss,-5,-3.21,-3.52,Division 1
